date,open,high,low,close,volume
2016-11-22,1582434.967,1619854.089,1575541.971,1614930.52,195000
2016-11-23,1635609.515,1635609.515,1601144.534,1623792.95,253300
2016-11-24,1623792.946,1626747.087,1608037.527,1624777.66,155100
2016-11-25,1615915.236,1626747.087,1608037.527,1624777.66,125500
2016-11-28,1624777.659,1655303.785,1614930.522,1651364.93,265800
2016-11-29,1664166.209,1672043.918,1643487.22,1651364.93,361600
2016-11-30,1651364.932,1720294.894,1651364.932,1719310.18,570700
2016-12-01,1713401.896,1726203.175,1706508.9,1722264.32,310700
2016-12-02,1697646.479,1711432.471,1680906.345,1700600.62,307000
2016-12-05,1690753.476,1707493.61,1684845.194,1691738.19,169600
2016-12-06,1695677.053,1733096.175,1693707.625,1721279.61,280000
2016-12-07,1725218.465,1746882.167,1725218.465,1744912.74,192000
2016-12-08,1771500.004,1773469.431,1748851.588,1762637.58,329200
2016-12-09,1767561.156,1767561.156,1742943.313,1752790.45,213000
2016-12-12,1706508.899,1740973.88,1706508.899,1725218.46,228200
2016-12-13,1704539.469,1744912.732,1704539.469,1739004.45,233600
2016-12-14,1750821.014,1756729.296,1737035.021,1749836.3,149100
2016-12-15,1714386.613,1747866.88,1714386.613,1732111.46,115400
2016-12-16,1738019.736,1773469.43,1733096.167,1765591.72,234900
2016-12-19,1753775.158,1791194.28,1753775.158,1767561.15,108700
2016-12-20,1768545.86,1792178.99,1764607.005,1784301.28,152300
2016-12-21,1790209.569,1802026.133,1773469.435,1777408.29,131000
2016-12-22,1785285.995,1787255.422,1771500.003,1781347.14,127000
2016-12-23,1773469.431,1776423.572,1752790.443,1754759.87,166600
2016-12-26,1752790.443,1772484.717,1750821.015,1770515.29,96400
2016-12-27,1771500.01,1782331.861,1765591.728,1771500.01,93000
2016-12-28,1792000,1799000,1780000,1788000,133200
2016-12-29,1771000,1802000,1770000,1802000,150300
2017-01-02,1799000,1812000,1794000,1805000,93000
2017-01-03,1814000,1831000,1801000,1824000,147100
2017-01-04,1825000,1826000,1805000,1808000,159400
2017-01-05,1803000,1803000,1777000,1778000,219300
2017-01-06,1809000,1822000,1802000,1810000,177600
2017-01-09,1830000,1875000,1828000,1861000,263800
2017-01-10,1864000,1870000,1854000,1862000,181900
2017-01-11,1876000,1928000,1871000,1914000,240300
2017-01-12,1900000,1940000,1899000,1940000,233300
2017-01-13,1905000,1916000,1873000,1873000,319000
2017-01-16,1843000,1891000,1816000,1833000,332200
2017-01-17,1829000,1873000,1829000,1848000,163000
2017-01-18,1852000,1875000,1831000,1847000,177500
2017-01-19,1886000,1896000,1851000,1874000,188300
2017-01-20,1856000,1871000,1844000,1860000,183700
2017-01-23,1860000,1903000,1850000,1903000,176200
2017-01-24,1906000,1929000,1894000,1908000,220900
2017-01-25,1917000,1970000,1916000,1970000,268600
2017-01-26,1971000,2.00E+06,1971000,1995000,304200
2017-01-31,1995000,1995000,1973000,1973000,359800
2017-02-01,1977000,1983000,1952000,1956000,283000
2017-02-02,1980000,1983000,1960000,1968000,300500
2017-02-03,1970000,1975000,1959000,1973000,207700
2017-02-06,1979000,1983000,1957000,1978000,177200
2017-02-07,1978000,1979000,1938000,1941000,280800
2017-02-08,1937000,1939000,1910000,1920000,341800
2017-02-09,1939000,1942000,1911000,1920000,273800
2017-02-10,1920000,1938000,1915000,1918000,220400
2017-02-13,1887000,1903000,1886000,1898000,222000
2017-02-14,1898000,1913000,1866000,1879000,262400
2017-02-15,1854000,1898000,1854000,1886000,283800
2017-02-16,1890000,1918000,1889000,1901000,204500
2017-02-17,1878000,1902000,1864000,1893000,307500
2017-02-20,1911000,1939000,1908000,1933000,149700
2017-02-21,1927000,1978000,1921000,1947000,211200
2017-02-22,1950000,1967000,1949000,1965000,170700
2017-02-23,1951000,1972000,1951000,1959000,204300
