datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 22:46:46,36,2178.5,2178.75,2178.25,2178.25,1500,0.43129771,0.857142857
2016-08-01 22:46:52,59,2178.25,2178.5,2178.25,2178.25,1500,0.536885246,1.141491722
2016-08-01 22:47:11,41,2178.25,2178.25,2177.75,2177.75,1500,0.088534107,1.006372549
2016-08-01 22:47:30,40,2177.75,2178,2177.5,2177.75,1500,0.519756839,1.290985165
2016-08-01 22:47:44,58,2177.75,2178,2177.5,2177.75,1500,0.541623844,1.245382586
2016-08-01 22:48:08,61,2177.75,2178.5,2177.75,2178.5,1500,37.46153846,1.079354626
2016-08-01 22:48:42,68,2178.5,2178.5,2177.75,2178,1500,1.329192547,1.183860532
2016-08-01 22:49:11,42,2178,2178.5,2177.75,2178.25,1500,0.712328767,1.255
2016-08-01 22:49:37,49,2178.25,2178.5,2178,2178.5,1500,2.816793893,1.018446602
2016-08-01 22:49:51,25,2178.5,2178.5,2178.25,2178.25,1500,1.608695652,1.230552622
2016-08-01 22:50:01,47,2178.25,2178.25,2178,2178,1500,0.532175689,0.975007762
2016-08-01 22:50:20,44,2178,2178.25,2178,2178.25,1500,0.831501832,0.790911705
2016-08-01 22:50:58,43,2178.25,2178.5,2178,2178.25,1500,0.882057716,0.776757532
2016-08-01 22:51:13,43,2178.25,2178.5,2178,2178.25,1500,0.632208923,0.835644136
2016-08-01 22:51:35,53,2178.25,2178.75,2178,2178.75,1500,5.493506494,0.946594659
2016-08-01 22:52:15,40,2178.75,2179,2178.75,2179,1500,40.66666667,0.723870798
2016-08-01 22:52:24,20,2179,2179.25,2178.75,2179,1500,2.131524008,0.652249832
2016-08-01 22:52:26,87,2179,2179.25,2178.5,2178.75,1500,1.010723861,1.099948303
2016-08-01 22:52:49,37,2178.75,2179,2178.75,2178.75,1500,0.395348837,1.126586681
2016-08-01 22:53:02,53,2178.75,2179.25,2178.75,2179,1500,0.78784267,0.773895309
2016-08-01 22:53:34,63,2179,2179.5,2179,2179.25,1500,9.638297872,0.853999405
2016-08-01 22:54:01,27,2179.25,2179.25,2179,2179.25,1500,0.033769814,0.726237345
2016-08-01 22:54:06,36,2179.25,2179.25,2178.75,2178.75,1500,0.03021978,1.031876607
2016-08-01 22:54:24,36,2178.75,2179.25,2178.75,2179.25,1500,2.112033195,0.684615385
2016-08-01 22:54:45,39,2179.25,2179.5,2179,2179.25,1500,1.300613497,0.647998869
2016-08-01 22:55:01,69,2179.25,2179.25,2179,2179,1500,1.103786816,0.647998869
2016-08-01 22:55:33,63,2179,2179.25,2178.75,2178.75,1500,0.102941176,0.865464839
2016-08-01 22:56:11,20,2178.75,2179,2178.75,2179,1500,1.235469449,0.751600163
2016-08-01 22:56:24,84,2179,2179.25,2178.75,2179,1500,1.04638472,0.751600163
2016-08-01 22:57:28,50,2179,2179.5,2179,2179.25,1500,9.273972603,1.023486759
2016-08-01 22:58:02,76,2179.25,2179.5,2179,2179.25,1500,0.43129771,0.731431647
2016-08-01 22:58:41,47,2179.25,2179.75,2179.25,2179.75,1500,34.71428571,1.094924649
2016-08-01 22:59:11,32,2179.75,2180,2179.75,2180,1500,213.2857143,1.040636922
2016-08-01 22:59:17,63,2180,2180.25,2179.75,2179.75,1500,0.78784267,0.831057007
2016-08-01 22:59:27,53,2179.75,2180,2179.5,2180,1500,0.202886929,0.849659349
2016-08-01 22:59:42,57,2180,2180,2179.25,2179.5,1500,0.714285714,0.864420573
2016-08-01 23:00:00,65,2179.5,2179.75,2179.25,2179.25,1500,0.385041551,0.897594387
2016-08-01 23:00:11,45,2179.25,2179.5,2179,2179.5,1500,1.722323049,0.797775689
2016-08-01 23:00:26,56,2179.5,2179.75,2179.25,2179.75,1500,0.798561151,0.843745296
2016-08-01 23:01:11,44,2179.75,2180,2179.75,2179.75,1500,3.87012987,1.326404158
2016-08-01 23:01:24,39,2179.75,2180.25,2179.75,2180,1500,0.371115174,1.01102107
2016-08-01 23:01:39,83,2180,2180.25,2179.75,2180.25,1500,1.879078695,0.927957493
2016-08-01 23:02:16,81,2180.25,2180.5,2180,2180.25,1500,6.894736842,1.008367514
2016-08-01 23:02:50,43,2180.25,2180.5,2180,2180.25,1500,0.210653753,0.772941503
2016-08-01 23:03:06,95,2180.25,2180.5,2180,2180.5,1500,0.981505945,0.791137371
2016-08-01 23:04:00,11,2180.5,2180.75,2180.5,2180.75,1500,186.5,0.765547528
2016-08-01 23:04:01,42,2180.75,2181,2180.75,2181,1500,1.205882353,0.950497993
2016-08-01 23:04:07,86,2181,2181,2180.75,2181,1500,0.432664756,0.920470157
2016-08-01 23:04:25,40,2181,2181.25,2180.75,2181,1500,26.27272727,1.004520504
2016-08-01 23:04:32,24,2181,2181.25,2181,2181.25,1500,40.66666667,0.982162589
2016-08-01 23:04:36,70,2181.25,2181.75,2181,2181.5,1500,9.416666667,0.862257369
2016-08-01 23:04:47,35,2181.5,2181.75,2181.5,2181.75,1500,0.374885426,0.813501631
2016-08-01 23:04:52,50,2181.75,2182,2181.5,2181.75,1500,0.882057716,1.249643875
2016-08-01 23:04:58,60,2181.75,2181.75,2181.5,2181.75,1500,1.906976744,1.009380286
2016-08-01 23:05:06,32,2181.75,2182,2181.75,2182,1500,2.416856492,0.946074888
2016-08-01 23:05:09,25,2182,2182.25,2182,2182.25,1500,52.57142857,0.671602907
2016-08-01 23:05:12,39,2182.25,2182.5,2182.25,2182.25,1500,3.043126685,0.946328961
2016-08-01 23:05:16,72,2182.25,2182.25,2182,2182,1500,0.396648045,1.077524131
2016-08-01 23:05:26,59,2182,2182,2181.5,2181.75,1500,0.191421763,0.98358012
2016-08-01 23:05:36,10,2181.75,2181.75,2181.25,2181.5,1500,0.49551346,0.879954049
2016-08-01 23:05:37,58,2181.5,2181.75,2181.25,2181.5,1500,2.348214286,1.010561763
2016-08-01 23:05:49,30,2181.5,2181.5,2181.25,2181.5,1500,1.373417722,0.905544762
